Hideaways, The;42;No
Permanent Record;42;No
Garden of the Finzi-Continis, The;42;Yes
Legend;42;No
Still of the Night;42;No
Center of the Web;42;No
Good Father, The;42;No
Desperately Seeking Susan;41;No
Castaway;41;No
Beverly Hills Cop;41;No
Man with the Golden Gun, The;41;No
Kandyland;41;No
There's a Girl in My Soup;41;No
Hard Choices;41;No
Kitchen Toto, THe;41;No
Mississippi Burning;41;Yes
Nightmare on Elm Street, Pt. 5, The Dream Child;41;No
Innerspace;41;No
Welcome Home, Roxy Carmichael;41;No
Kissing Place, The;41;No
Basic Instinct;41;No
Sicilian, The;41;No
Critical Condition;41;No
Angelic Conversation, The;41;No
Kings of the Road (In the Course of Time);41;No
Hollywood's Greatest War Movies;41;No
Miami Cops;40;No
Mother Lode;40;No
Quick & The Dead, The;40;No
Paramount Comedy Theater: Well-Developed;40;No
I Love All of You (Je Vous Aime);40;No
Ninotchka;40;No
Slumber Party Massacre III;40;No
Last of the Red Hot Lovers;40;No
Gold of Naples, The;40;No
Man Who Loved Cat Dancing, The;40;No
Red Sonja;40;No
International Velvet;40;No
Maximum Overdrive;40;No
Stir Crazy;40;No
Wrong Box, The;40;No
Idiot, The;40;No
Shadows of the West;40;No
Persuaders, The Overture, The;40;No
Once upon a Wheel;40;No
Official Story, The;39;Yes
Island of Dr. Moreau, The;39;No
Ms. Don Juan;39;No
Rope;39;No
Judgment at Nuremberg;39;Yes
Monster in the Closet;39;No
Tom Jones;39;Yes
Hamlet;39;No
Rome Adventure;39;No
Fellow Traveller;39;No
Christopher Columbus: The Discovery;39;No
Last of Sheila, The;39;No
American Graffiti;39;Yes
Legal Eagles;39;No
Victory;39;No
Maitresse;39;No
Naked Night, The;38;No
Charly;38;Yes
Campus Man;38;No
White Sands;38;No
Lady from Louisiana;38;No
Blue City;38;No
West Side Story;38;Yes
Heavens Above;38;No
Runaway Barge, The;38;No
James Taylor in Concert;38;No
Bloodbath;37;No
That Naughty Girl;37;No
Road to Hong Kong;37;No
Beverly Hills Cop II;37;No
Shop on Main Street, The;37;Yes
French Lieutenant's Woman, The;37;No
Hour of the Wolf;37;No
Fuzz;37;No
